udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,target,failure_type,installation_cohort,product_family,equipment_age_proxy,reliability_index,operating_stress,maintenance_efficiency,failure_risk_score,lifecycle_stage,criticality_score,criticality_level
11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,Gen1,H,0.001000100010001,0.7808276479821896,1.0537284570978276,0.8667550790204764,2.7172841771147436,new_install,2.303032207975246,high
12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,Gen1,H,0.0011001100110011,0.776855076812029,0.58178406234829,1.466740065110453,1.7345624395414037,new_install,1.7683601945210485,medium
13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,Gen1,M,0.0012001200120012002,0.7328825056418686,0.8091570923198645,1.099919924122612,2.168033101193625,new_install,1.7099603681734095,medium
14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,Gen1,M,0.0013001300130013002,0.7304909621396923,0.7490349363432118,1.1778078347482306,2.0783257277417406,new_install,1.65604077199966,medium
15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,Gen1,L,0.0014001400140014,0.6880994186375159,1.096781923358561,0.8355741179593299,3.7110651999559314,new_install,2.113460656989941,high
16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,Gen1,L,0.0015001500150015,0.6864983889693317,0.6964107860447029,1.2556334212478504,1.6044837961583176,new_install,1.1507167542767378,medium
17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,Gen1,M,0.0016001600160016002,0.7248973593011475,0.6362238075228156,1.3582826170274451,1.9626517507194365,new_install,1.5759278425446193,medium
18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,Gen1,M,0.0017001700170017002,0.7225058157989712,0.5861220859783978,1.4574665652600558,1.5717661541213654,new_install,1.4045430874420657,medium
19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,Gen1,H,0.0018001800180018,0.7601142722967948,0.8670487463043507,1.0340740358969236,2.300478572038083,new_install,2.0803060527065385,high
20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,Gen1,M,0.0019001900190019003,0.7161417011266346,0.5929825383625739,1.4430378034674118,1.4345279345804751,new_install,1.3517059353409624,medium
21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,Gen1,H,0.002000200020002,0.7537501576244581,0.43335931513626536,1.87490866217367,1.4338121723483994,new_install,1.6035326634802394,medium
22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,Gen1,L,0.0021002100210021,0.6697775864542976,0.5202419679996142,1.612274002072401,1.251453999128107,new_install,0.9566541900511272,low
23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,Gen1,M,0.0022002200220022,0.7081765567861135,0.6531695168844612,1.327722348796816,1.3820532597281359,new_install,1.3487721589565926,medium
24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,Gen1,L,0.0023002300230023,0.6657850132839371,0.7812252185873275,1.134783684020162,2.088636852329036,new_install,1.3698223065078128,medium
25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,Gen1,M,0.0024002400240024004,0.704183983615753,0.39335357922405373,2.026943843344158,0.9287288938608839,new_install,1.0894976313115696,medium
26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,Gen1,L,0.0025002500250025004,0.6617924401135766,0.8390086847908339,1.064952876578295,2.5889750866826633,new_install,1.5872926401103156,medium
27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,Gen1,L,0.0026002600260026003,0.6601914104453924,0.29737997198432664,2.516483140824827,0.7879775875456173,new_install,0.704405026613545,low
28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,Gen1,H,0.0027002700270027003,0.7385903807772083,0.8013416386517687,1.1094572325492529,2.301319022942245,new_install,2.0609301007724286,high
29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,Gen1,L,0.0028002800280028,0.6546178096070477,0.4277202695698608,1.8949433206632167,1.0128597396013925,new_install,0.8334599767115153,low
30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,Gen1,L,0.0029002900290029,0.6530167799388634,0.6341014933116029,1.3622094616493738,1.5114149772504095,new_install,1.0947964388936446,medium
31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,Gen1,M,0.003000300030003,0.6914157502706794,0.539003272237267,1.5649372130737573,1.5363429419876524,new_install,1.376238158466241,medium
32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,Gen1,L,0.0031003100310031005,0.6490242067685029,0.787912660645315,1.1262368973016135,2.170361786247998,new_install,1.4045185126927937,medium
33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,Gen1,L,0.0032003200320032004,0.6474231771003187,0.581477343013094,1.4674002155061903,1.27740955947394,new_install,0.9854070266935042,low
34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,Gen1,L,0.0033003300330033004,0.6458221474321345,0.5929825383625739,1.4430378034674118,1.283088164501804,new_install,0.9911300273094937,low
35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,Gen1,M,0.0034003400340034003,0.6842211177639503,0.5810168639638662,1.4683924186245387,1.0348202663907577,new_install,1.188233165745463,medium
36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,Gen1,M,0.0035003500350035003,0.681829574261774,0.6697692055937199,1.299090679041524,1.2895734222534974,new_install,1.316760130579515,medium
37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,Gen1,M,0.0036003600360036,0.6794380307595977,0.47501209363718017,1.7390938574432449,0.8809596753804975,new_install,1.094887498243353,medium
38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,Gen1,L,0.0037003700370037006,0.6370464872574214,0.43054941765914784,1.8848385592658425,1.027266295227517,new_install,0.8400713433887511,low
39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,Gen1,H,0.0038003800380038005,0.7154454575892373,0.723322835948108,1.2145903846435124,1.5969312033702119,new_install,1.7557693321325172,medium
40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,Gen1,L,0.0039003900390039005,0.6314728864190766,0.8226401642168065,1.0838461610316534,1.8499304104736989,new_install,1.2867642134545216,medium
41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,Gen1,L,0.004000400040004,0.6298718567508925,0.585235971158251,1.459351292241277,1.4173642791747931,new_install,1.0425165030173926,medium
42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,Gen1,L,0.004100410041004101,0.6282708270827082,0.7657969067239128,1.1550052815317833,1.6827899930104677,new_install,1.202855069221361,medium
43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,Gen1,M,0.0042004200420042,0.6666697974145241,0.7089536492310193,1.2361647678462009,1.5807704599565333,new_install,1.4449942787519192,medium
44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,Gen1,H,0.004300430043004301,0.7042782539123478,0.6664254845647261,1.3047582839288379,1.5127078438615065,new_install,1.7050107829140204,medium
45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,Gen1,M,0.0044004400440044,0.6603056827421874,0.6554541127671195,1.3237071360127277,1.230435024378122,new_install,1.2888102435813846,medium
46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,Gen1,L,0.004500450045004501,0.617914139240011,0.7089536492310193,1.2361647678462009,1.3219293898592783,new_install,1.0414578507130172,medium
47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,Gen1,M,0.0046004600460046,0.6563131095718269,0.9177383852911426,0.9825707809123577,2.4310777391737832,new_install,1.847752611256856,medium
48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,Gen1,L,0.0047004700470047005,0.6139215660696504,0.6153294604191945,1.39795724254665,1.3210793228336475,new_install,1.0130305672592175,medium
49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,Gen1,H,0.004800480048004801,0.6923205364014663,0.846986420130388,1.0559813517308017,1.7858021251649197,new_install,1.8684167761050843,medium
50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,Gen1,M,0.0049004900490049,0.6483479652313058,0.5026372480345211,1.6593730362028942,1.2344291806415522,new_install,1.2445628466669771,medium
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,Gen1,L,0.005000500050005001,0.20595642172912942,1.5708123824365015,0.1,8.244940419369062,new_install,4.069219882478575,critical
52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,Gen1,L,0.0051005100510051,0.6043553920609452,0.8862249576581757,1.0139674444809565,2.002407881064618,new_install,1.3668306397232999,medium
53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,Gen1,H,0.005200520052005201,0.682754362392761,0.5542022731866945,1.528579219281653,1.182897496626195,new_install,1.5394196806064864,medium
54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,Gen1,L,0.0053005300530053,0.5987817912226006,0.6067723295947247,1.4148827820882817,1.2750084589181572,new_install,0.9920350824456803,low
55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,Gen1,L,0.0054005400540054005,0.5971807615544162,0.7739583810444116,1.1442192462356893,1.7643941987490395,new_install,1.2379451938129393,medium
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,Gen1,L,0.005500550055005501,0.5955797318862321,0.42808108279554524,1.893648594087521,1.1544318140068746,new_install,0.8901970504414134,low
57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,Gen1,L,0.0056005600560056,0.5939787022180478,0.48492434028843867,1.7096228197767915,1.237357873475439,new_install,0.9404204514767072,low
58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,Gen1,L,0.005700570057005701,0.5923776725498636,0.4147061986795701,1.942855948821687,1.194057741307658,new_install,0.9020349561269343,low
59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,Gen1,M,0.0058005800580058,0.6307766428816795,0.7773561959638843,1.139787927184325,1.7648923771641303,new_install,1.5391638096548175,medium
60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,Gen1,L,0.005900590059005901,0.5883850993795032,0.8861708637676875,1.0140230630820688,2.105605826303669,new_install,1.408093589651774,medium
61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,Gen1,L,0.006000600060006,0.5867840697113189,0.8259838852458005,1.0799324004807622,1.9642450378352179,new_install,1.3334931807078272,medium
62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,Gen1,M,0.006100610061006101,0.6251830400431349,0.4864524664414287,1.7051680353020973,1.3647149979802267,new_install,1.2918217391245193,medium
63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,Gen1,L,0.006200620062006201,0.5827914965409585,0.9980417838774711,0.9107121556601788,2.7191366371078676,new_install,1.6870671900063885,medium
64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,Gen1,M,0.0063006300630063005,0.6211904668727743,0.8810656417531785,1.0192997873342966,2.482138464247685,new_install,1.8571750782250276,medium
65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,Gen1,L,0.006400640064006401,0.578798923370598,0.41728272132413985,1.9331788184229328,1.3523578479024918,new_install,0.9661279555582387,low
66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,Gen1,L,0.0065006500650065,0.5771978937024138,0.5418757855622992,1.5579338284649187,1.6691868039920257,new_install,1.1302374572655,medium
67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,Gen1,M,0.006600660066006601,0.6155968640342295,0.8099072914336971,1.0990130636543731,2.017757210190104,new_install,1.650075071506151,medium
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,Gen1,H,0.0067006700670067,0.6532053205320532,0.5866992747660192,1.4562415263081974,1.6372872434102403,new_install,1.7309246797939017,medium
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,Gen1,L,0.006800680068006801,0.5692327493618927,0.7028541246154093,1.2455562839376697,1.7672367562217601,new_install,1.2177509398733268,medium
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,Gen1,L,0.006900690069006901,0.1676317196937085,1.2698126672818433,0.1,3.1042642269048453,new_install,1.9226494909464913,medium
71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,Gen1,M,0.0070007000700070005,0.6060306900255243,0.9914084357099718,0.9162472702984839,3.1952146471914853,new_install,2.1755083895895857,high
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,Gen1,L,0.007100710071007101,0.563639146523348,0.5719151809327642,1.488283087475093,1.7695795580256488,new_install,1.179406377490089,medium
73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,Gen1,L,0.0072007200720072,0.5620381168551638,0.5351342496138329,1.5744702802722552,1.9421616834706825,new_install,1.2374049482724228,medium
74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,Gen1,L,0.007300730073007301,0.5604370871869796,0.5376566783679145,1.5682420241555457,1.7477791769496611,new_install,1.1604086742902386,medium
75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,Gen1,L,0.007400740074007401,0.5588360575187954,0.6670674958975792,1.303666242342672,1.9138573276092794,new_install,1.2656631798129856,medium
76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,Gen1,L,0.007500750075007501,0.5572350278506111,0.6736360215198566,1.292597516381718,2.1078531114052916,new_install,1.3452320510180737,medium
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,Gen1,L,0.007600760076007601,0.555633998182427,0.7137606738677813,1.228862529381063,2.027166708801634,new_install,1.324994885680988,medium
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,Gen1,L,0.007700770077007701,0.15403296851424272,0.49307508595419436,0.1,1.903829127749947,new_install,1.2094541768862372,medium
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,Gen1,L,0.007800780078007801,0.7184398439843985,0.834134630911556,1.0705095035649954,2.396886930776513,new_install,1.508995161584072,medium
80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,Gen1,L,0.0079007900790079,0.7168388143162142,0.5189494680207535,1.6156407779099502,2.0772189952847975,new_install,1.2865724385201451,medium
81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,Gen1,H,0.008000800080008,0.7952377846480301,0.8031009329399869,1.107295943925741,2.2255002194901383,new_install,2.031130367678051,high
82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,Gen1,L,0.008100810081008101,0.7112652134778696,0.6837212784973259,1.2759638246869573,2.0224822658185113,new_install,1.3141092898766025,medium
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,Gen1,L,0.008200820082008202,0.7096641838096854,0.4596919695547452,1.7866970662372295,1.8482536581515778,new_install,1.1772090541270548,medium
84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,Gen1,L,0.0083008300830083,0.7080631541415011,0.39715557260495576,2.0114428060421417,1.7574704771924052,new_install,1.1221348626584489,medium
85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,Gen1,L,0.0084008400840084,0.7064621244733169,0.6870649995263197,1.2705430944100313,2.000133969904844,new_install,1.3061730878198334,medium
86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,Gen1,M,0.008500850085008501,0.7448610948051327,0.8343076412377447,1.0703112720722565,2.5869319561286153,new_install,1.8850650748227695,medium
87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,Gen1,H,0.008600860086008601,0.7824695513029565,0.5242169717067178,1.6020070669751674,1.761767665441284,new_install,1.7619721576885288,medium
88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,Gen1,L,0.0087008700870087,0.6984969801327959,0.6671215897880577,1.3035743137880953,1.7565631013802538,new_install,1.202761717488519,medium
89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,Gen1,M,0.0088008800880088,0.7368959504646118,0.5676853450836366,1.4977114704752679,1.746170193447473,new_install,1.4687736809040801,medium
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,Gen1,M,0.0089008900890089,0.7345044069624355,0.4487854203023731,1.8222058440419462,1.5639771770217328,new_install,1.3602264968994051,medium
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,Gen1,L,0.009000900090009001,0.6921128634602591,0.9068752012745156,0.9931717443573812,2.387541021222928,new_install,1.527078968871526,medium
92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,Gen1,L,0.009100910091009102,0.6905118337920749,0.9369686905354593,0.964349270259674,2.665225638243462,new_install,1.6471808624580226,medium
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,Gen1,M,0.0092009200920092,0.7289108041238906,0.8634068278975969,1.0379830939980557,2.2082893474458882,new_install,1.7423377873476344,medium
94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,Gen1,L,0.0093009300930093,0.6865192606217143,0.4774589711912842,1.7317247629507317,1.4629775891910957,new_install,1.0284287270338235,medium
95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,Gen1,L,0.009400940094009401,0.6849182309535301,0.6862437072514075,1.2718702747979416,1.659789141214629,new_install,1.169788768661274,medium
96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,Gen1,M,0.009500950095009501,0.7233172012853459,0.8017458171131984,1.1089599541491053,2.078311068807705,new_install,1.6718481726570416,medium
97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,Gen1,M,0.009600960096009602,0.7209256577831696,0.5500913537732769,1.538245346897439,1.3750052146773317,new_install,1.3150294920029157,medium
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,Gen1,M,0.0097009700970097,0.7185341142809935,0.7697826390857724,1.1497125316861911,2.025200990434701,new_install,1.641015187899612,medium
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,Gen1,L,0.0098009800980098,0.676142570778817,0.6986242887662781,1.2521532516182408,1.4993563562758903,new_install,1.1093298291402394,medium
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,Gen1,L,0.009900990099009901,0.6745415411106329,0.6191962763453311,1.390441014352301,1.3852586198027723,new_install,1.0398623308247084,medium
101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,Gen1,L,0.010001000100010001,0.6729405114424486,0.950289480760946,0.9521184571661989,2.621420581176491,new_install,1.6336550766988802,medium
102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,Gen1,L,0.010101010101010102,0.6713394817742645,1.1165353235000077,0.8220065465283578,3.423611783262124,new_install,2.004405310354852,high
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,Gen1,L,0.0102010201020102,0.6697384521060802,0.492134877243569,1.6888044235041055,1.2566745073095995,new_install,0.9503102660969104,low
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,Gen1,M,0.010301030103010301,0.708137422437896,0.48879115621457525,1.6983950751386057,1.3498140635298523,new_install,1.2865629722763137,medium
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,Gen1,L,0.010401040104010401,0.6657458789357197,0.6082249045477371,1.4119808461672023,1.3907076400453846,new_install,1.0387505273824749,medium
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,Gen1,L,0.010501050105010502,0.6641448492675355,0.791254174977002,1.1220143793725332,1.55268428270882,new_install,1.1584499655766287,medium
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,Gen1,L,0.0106010601060106,0.6625438195993513,0.7787546770264179,1.13797402863773,1.579770058819071,new_install,1.1655344266355538,medium
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,Gen1,M,0.0107010701070107,0.7009427899311671,0.6994455810411808,1.2508668803918104,1.365137742128829,new_install,1.355888771163886,medium
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,Gen1,H,0.010801080108010801,0.7385512464289907,0.6986242887662781,1.2521532516182408,1.4064602227812077,new_install,1.6721713757423664,medium
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,Gen1,L,0.010901090109010901,0.6545786752588303,0.6742780328527093,1.2915257279296077,1.2866357681643013,new_install,1.0169377171215332,medium
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,Gen1,L,0.011001100110011002,0.6529776455906461,1.1012800219627945,0.8324453763628573,2.821136871492148,new_install,1.7588387551856977,medium
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,Gen1,H,0.0111011101110111,0.7313766159224617,0.6506989753235516,1.33209186754118,1.2799036284887073,new_install,1.6071711439925485,medium
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,Gen1,M,0.0112011201120112,0.6874040447523013,0.5103816085415278,1.6383193497416202,1.1313702441429543,new_install,1.2056625802196401,medium
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,Gen1,M,0.011301130113011301,0.685012501250125,0.5805349276051618,1.469432294267471,1.2027853434526299,new_install,1.2552746156626005,medium
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,Gen1,L,0.011401140114011402,0.6426209577479487,0.8705632709622263,1.030329531230447,1.7465057139251272,new_install,1.2597712668587189,medium
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,Gen1,L,0.011501150115011502,0.6410199280797645,0.7075963267069242,1.238242382896448,1.4070805980691958,new_install,1.0751111372397557,medium
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,Gen1,L,0.0116011601160116,0.6394188984115803,0.6742780328527093,1.2915257279296077,1.2115380166021286,new_install,0.9868986164966642,low
118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,Gen1,L,0.011701170117011701,0.6378178687433961,0.7501893139184518,1.1762086203966542,1.3698311959539815,new_install,1.0729892725571282,medium
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,Gen1,M,0.011801180118011801,0.676216839075212,0.9140316443391449,0.9861625182828595,1.8891554675478992,new_install,1.6298716803209032,medium
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,Gen1,L,0.011901190119011902,0.6338252955730356,0.5795406250040704,1.4715823649160196,1.2734732332036587,new_install,0.9832514807826847,low
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,Gen1,L,0.012001200120012,0.6322242659048515,0.6350287666701754,1.3604909703469108,1.2849760979626719,new_install,1.0044990691861213,medium
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,Gen1,L,0.0121012101210121,0.6306232362366672,0.5179985306553946,1.618126824572687,1.0520651275825819,new_install,0.8762256102296512,low
123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,Gen1,L,0.012201220122012201,0.629022206568483,0.7965216786629664,1.1154219956971445,1.9235868817775745,new_install,1.3083912563099198,medium
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,Gen1,L,0.012301230123012302,0.6274211769002987,0.5915603932932566,1.446005308716327,1.09880975204098,new_install,0.9169920188043691,low
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,Gen1,L,0.012401240124012402,0.6258201472321145,0.8314329212154151,1.0736146181038058,1.8236634475752682,new_install,1.278895255394732,medium
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,Gen1,L,0.0125012501250125,0.6242191175639303,0.760274570895921,1.16241957373977,1.3608108934020566,new_install,1.0724067286295988,medium
127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,Gen1,L,0.012601260126012601,0.6226180878957461,1.169138016489027,0.7879363686279158,2.605672719214243,new_install,1.6930104926324054,medium
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,Gen1,L,0.012701270127012701,0.6210170582275619,0.7176815836843934,1.222969943256026,1.4732574606065194,new_install,1.1046074593479256,medium
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,Gen1,L,0.012801280128012802,0.6194160285593777,0.5296119137858316,1.5882799834377965,1.1424585735116253,new_install,0.9158670035403996,low
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,Gen1,L,0.012901290129012902,0.6178149988911935,0.7125222677793962,1.230735500619541,1.3241989276744335,new_install,1.0434362514035922,medium
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,Gen1,L,0.013001300130013,0.6162139692230093,0.5987168363578989,1.4311949390150047,1.3342709744931087,new_install,1.0133234407046132,medium
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,Gen1,L,0.013101310131013101,0.614612939554825,0.9723382054398068,0.9325416132029558,2.0966160827451303,new_install,1.4303478947299941,medium
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,Gen1,M,0.013201320132013201,0.6530119098866409,0.6855994892212575,1.2729132512436734,1.463154674086802,new_install,1.390941716401098,medium
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,Gen1,M,0.013301330133013302,0.6506203663844645,0.8995976350768569,1.0004025268858427,1.7536917484379364,new_install,1.5713559898982319,medium
135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,Gen1,L,0.0134013401340134,0.6082288228822883,0.9966196388081539,0.9118932076456667,2.0875420537310605,new_install,1.4340027131348705,medium
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,Gen1,M,0.013501350135013501,0.646627793214104,0.9231225987155134,0.9773999726479086,1.9740601732234073,new_install,1.6665608489040171,medium
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,Gen1,H,0.013601360136013601,0.6842362497119276,0.7467266764537576,1.1810186543173276,1.5893420620744738,new_install,1.7597548277659165,medium
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,Gen1,L,0.013701370137013702,0.6002636785417673,1.0452580567448129,0.873165653898404,2.428499689728023,new_install,1.584977292914653,medium
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,Gen1,H,0.013801380138013802,0.678662648873583,0.8313140047796924,1.0737517044388865,1.6850134133730628,new_install,1.8233995667831329,medium
